premise,hypothesis,label,alternation,subtype of alternation,lemma,verb class,comment,prediction,,Model,Accuracy
This cup chipped John's front tooth.,This cup chipped.,non-entailment,causative,causative/inchoative,chip,BREAK,,entailment,,,
The hammer cracked the wall during the major overhaul.,The wall cracked during the major overhaul.,entailment,causative,causative/inchoative,crack,BREAK,,entailment,,,
The hammer cracked the wall during the major overhaul.,The hammer cracked during the major overhaul.,non-entailment,causative,causative/inchoative,crack,BREAK,,non-entailment,,,
Lisa crashed the drone while she was in Portugal.,The drone crashed in Portugal.,entailment,causative,causative/inchoative,crash,BREAK,,entailment,,,
Lisa crashed the drone while she was in Portugal.,Lisa crashed in Portugal.,non-entailment,causative,causative/inchoative,crash,BREAK,meaning change,non-entailment,,,
The falling stalagmite fractured the bone.,The bone fractured.,entailment,causative,causative/inchoative,fracture,BREAK,,entailment,,,
The falling stalagmite fractured the bone.,The falling stalagmite fractured.,non-entailment,causative,causative/inchoative,fracture,BREAK,,entailment,,,
The hammer shattered the glass.,The glass shattered.,entailment,causative,causative/inchoative,shatter,BREAK,,entailment,,,
The hammer shattered the glass.,The hammer shattered.,non-entailment,causative,causative/inchoative,shatter,BREAK,,entailment,,,
Robert hammered the nail into the door.,The nail was hammered into the door.,entailment,causative,causative/inchoative,hammer,BREAK,,entailment,,,
Robert hammered the nail into the door.,Robert hammered at the door.,non-entailment,causative,causative/inchoative,hammer,BREAK,meaning change,entailment,,,
The bat smashed the window to pieces.,The window smashed to pieces.,entailment,causative,causative/inchoative,smash,BREAK,,entailment,,,
The bat smashed the window to pieces.,The bat smashed to pieces.,non-entailment,causative,causative/inchoative,smash,BREAK,,entailment,,,
The damaged tree snapped the outdoor table in two.,The outdoor table snapped in two.,entailment,causative,causative/inchoative,snap,BREAK,,entailment,,,
The damaged tree snapped the outdoor table in two.,The damaged tree snapped in two.,non-entailment,causative,causative/inchoative,snap,BREAK,,non-entailment,,,
The baseball bat splintered the interior door.,The interior door splintered.,entailment,causative,causative/inchoative,splinter,BREAK,,entailment,,,
The baseball bat splintered the interior door.,The baseball bat splintered.,non-entailment,causative,causative/inchoative,splinter,BREAK,,entailment,,,
The spear split the coconut in half.,The coconut split in half.,entailment,causative,causative/inchoative,split,BREAK,,entailment,,,
The spear split the coconut in half.,The spear split in half.,non-entailment,causative,causative/inchoative,split,BREAK,,non-entailment,,,
Tony bent the rod.,The rod bent.,entailment,causative,causative/inchoative,bend,BEND,,entailment,,,
Tony bent the rod.,Tony bent.,non-entailment,causative,causative/inchoative,bend,BEND,,entailment,,,
The pillow creased the bed sheet.,The bed sheet was creased.,entailment,causative,causative/inchoative,crease,BEND,,entailment,,,
The pillow creased the bed sheet.,The pillow was creased.,non-entailment,causative,causative/inchoative,crease,BEND,,non-entailment,,,
The coat crumpled the blouse underneath it.,The blouse crumpled.,entailment,causative,causative/inchoative,crumple,BEND,,entailment,,,
The coat crumpled the blouse underneath it.,The coat crumpled.,non-entailment,causative,causative/inchoative,crumple,BEND,,entailment,,,
The blanket rumpled the sheet underneath it.,The sheet rumpled.,entailment,causative,causative/inchoative,rumple,BEND,,non-entailment,,,
The blanket rumpled the sheet underneath it.,The blanket rumpled.,non-entailment,causative,causative/inchoative,rumple,BEND,,entailment,,,
James wrinkled the napkin.,The napkin wrinkled.,entailment,causative,causative/inchoative,wrinkle,BEND,,entailment,,,
James wrinkled the napkin.,James wrinkled.,non-entailment,causative,causative/inchoative,wrinkle,BEND,meaning change,entailment,,,
Her fear abated the physical pain.,The physical pain abated.,entailment,causative,causative/inchoative,abate,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,entailment,,,
Her fear abated the physical pain.,Her fear abated.,non-entailment,causative,causative/inchoative,abate,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,non-entailment,,,
The university advanced our knowledge.,Our knowledge advanced.,entailment,causative,causative/inchoative,advance,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,entailment,,,
The university advanced our knowledge.,The university advanced.,non-entailment,causative,causative/inchoative,advance,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,entailment,,,
Adam aged the cheese in his own factory.,The cheese aged.,entailment,causative,causative/inchoative,age,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,entailment,,,
Adam aged the cheese in his own factory.,Adam aged.,non-entailment,causative,causative/inchoative,age,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,entailment,,,
The existing legislation altered the business model.,The business model was altered.,entailment,causative,causative/inchoative,alter,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,entailment,,,
The existing legislation altered the business model.,The existing legislation was altered.,non-entailment,causative,causative/inchoative,alter,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,non-entailment,,,
Political influence atrophied this tradition.,This tradition atrophied.,entailment,causative,causative/inchoative,atrophy,OTHER ALTERNATING VERBS OF CHANGE OF STATE,metaphorical,entailment,,,
Political influence atrophied this tradition.,Political influence atrophied.,non-entailment,causative,causative/inchoative,atrophy,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,entailment,,,
The mother awoke the sleeping child after a midday nap.,The sleeping child awoke after a midday nap.,entailment,causative,causative/inchoative,awake,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,entailment,,,
The mother awoke the sleeping child after a midday nap.,The mother awoke after a midday nap.,non-entailment,causative,causative/inchoative,awake,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,non-entailment,,,
The entertainer balanced the trophy on his head.,The trophy balanced on his head.,entailment,causative,causative/inchoative,balance,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,entailment,,,
The entertainer balanced the trophy on his head.,The entertainer balanced on his head.,non-entailment,causative,causative/inchoative,balance,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,entailment,,,
The robot blasted the box.,The box was blasted.,entailment,causative,causative/inchoative,blast,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,entailment,,,
The robot blasted the box.,The robot was blasted.,non-entailment,causative,causative/inchoative,blast,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,non-entailment,,,
The film blurred the boundaries between animation and live-action.,The boundaries blurred.,entailment,causative,causative/inchoative,blur,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,entailment,,,
The film blurred the boundaries between animation and live-action.,The film blurred.,non-entailment,causative,causative/inchoative,blur,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,entailment,,,
The yacht accidentally capsized the lifeboat.,The lifeboat capsized.,entailment,causative,causative/inchoative,capsize,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,entailment,,,
The yacht accidentally capsized the lifeboat.,The yacht capsized.,non-entailment,causative,causative/inchoative,capsize,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,entailment,,,
The players changed the rules.,The rules changed.,entailment,causative,causative/inchoative,change,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,entailment,,,
The players changed the rules.,The players changed.,non-entailment,causative,causative/inchoative,change,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,entailment,,,
The police department closed the case.,The case was closed.,entailment,causative,causative/inchoative,close,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,entailment,,,
The police department closed the case.,The police department was closed.,non-entailment,causative,causative/inchoative,close,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,non-entailment,,,
The worker collapsed the roof of the old house.,The roof collapsed.,entailment,causative,causative/inchoative,collapse,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,entailment,,,
The worker collapsed the roof of the old house.,The worker collapsed.,non-entailment,causative,causative/inchoative,collapse,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,entailment,,,
The machine compressed plastic waste.,Plastic waste was compressed.,entailment,causative,causative/inchoative,compress,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,entailment,,,
The machine compressed plastic waste.,The machine was compressed.,non-entailment,causative,causative/inchoative,compress,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,non-entailment,,,
This material corroded the metal surface.,The metal surface corroded.,entailment,causative,causative/inchoative,corrode,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,entailment,,,
This material corroded the metal surface.,This material corroded.,non-entailment,causative,causative/inchoative,corrode,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,entailment,,,
The falling rock crumbled the ice on the lake.,The ice crumbled.,entailment,causative,causative/inchoative,crumble,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,entailment,,,
The falling rock crumbled the ice on the lake.,The falling rock crumbled.,non-entailment,causative,causative/inchoative,crumble,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,entailment,,,
Soil organisms decomposed the organic matter.,The organic matter decomposed.,entailment,causative,causative/inchoative,decompose,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,entailment,,,
Soil organisms decomposed the organic matter.,Soil organisms decomposed.,non-entailment,causative,causative/inchoative,decompose,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,entailment,,,
The expenses of raising children decreased his desire to quit the job.,His desire to quit the job decreased.,entailment,causative,causative/inchoative,decrease,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,entailment,,,
The expenses of raising children decreased his desire to quit the job.,The expenses of raising children decreased.,non-entailment,causative,causative/inchoative,decrease,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,non-entailment,,,
The threat of nuclear war diminished our belief in a bright future.,Our belief in a bright future diminished.,entailment,causative,causative/inchoative,diminish,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,entailment,,,
The threat of nuclear war diminished our belief in a bright future.,The threat of nuclear war diminished.,non-entailment,causative,causative/inchoative,diminish,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,non-entailment,,,
The company enlarged the allocated budget for the conference.,The allocated budget for the conference was enlarged.,entailment,causative,causative/inchoative,enlarge,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,entailment,,,
The company enlarged the allocated budget for the conference.,The company was enlarged.,non-entailment,causative,causative/inchoative,enlarge,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,non-entailment,,,
The policeman halted traffic near the police station.,Traffic halted near the police station.,entailment,causative,causative/inchoative,halt,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,entailment,,,
The policeman halted traffic near the police station.,The policeman halted near the police station.,non-entailment,causative,causative/inchoative,halt,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,entailment,,,
Steve drove the remote-control toy car in that direction.,The remote-control car drove in that direction.,entailment,causative,induced action,drive,RUN,,entailment,,,
Steve drove the remote-control toy car in that direction.,Steve drove in that direction.,non-entailment,causative,induced action,drive,RUN,,entailment,,,
Laura is flying a drone over the river.,A drone is flying over the river.,entailment,causative,induced action,fly,RUN,,entailment,,,
Laura is flying a drone over the river.,Laura is flying over the river.,non-entailment,causative,induced action,fly,RUN,,non-entailment,,,
The trainer jumped the dog over the hurdle.,The dog jumped over the hurdle.,entailment,causative,induced action,jump,RUN,,non-entailment,,,
The trainer jumped the dog over the hurdle.,The trainer jumped over the hurdle.,non-entailment,causative,induced action,jump,RUN,,non-entailment,,,
James leapt his pet over the fence.,His pet leapt over the fence.,entailment,causative,induced action,leap,RUN,,entailment,,,
James leapt his pet over the fence.,James leapt over the fence.,non-entailment,causative,induced action,leap,RUN,,non-entailment,,,
The captain marched the soldiers to the barracks.,The soldiers marched to the barracks.,entailment,causative,induced action,march,RUN,,entailment,,,
The captain marched the soldiers to the barracks.,The captain marched to the barracks.,non-entailment,causative,induced action,march,RUN,,entailment,,,
John raced dogs around the field.,Dogs raced around the field.,entailment,causative,induced action,race,RUN,,entailment,,,
John raced dogs around the field.,John raced around the field.,non-entailment,causative,induced action,race,RUN,,entailment,,,
The child ran the rat through the maze.,The rat ran through the maze.,entailment,causative,induced action,run,RUN,,entailment,,,
The child ran the rat through the maze.,The child ran through the maze.,non-entailment,causative,induced action,run,RUN,,non-entailment,,,
Jane swam her dog across the pool.,Her dog swam across the pool.,entailment,causative,induced action,swim,RUN,,entailment,,,
Jane swam her dog across the pool.,Jane swam across the pool.,non-entailment,causative,induced action,swim,RUN,,entailment,,,
The child trotted the pony into the field.,The pony trotted into the field.,entailment,causative,induced action,trot,RUN,,entailment,,,
The child trotted the pony into the field.,The child trotted into the field.,non-entailment,causative,induced action,trot,RUN,meaning change,entailment,,,
The seagull clanged the metal rail.,The metal rail clanged.,entailment,causative,other instances of causative alternation,clang,SOUND EMISSION,,entailment,,,
The seagull clanged the metal rail.,The seagull clanged.,non-entailment,causative,other instances of causative alternation,clang,SOUND EMISSION,meaning change (M-W & Collins Dic),entailment,,,
Rachel clattered the plates loudly.,The plates clattered loudly.,entailment,causative,other instances of causative alternation,clatter,SOUND EMISSION,,entailment,,,
Rachel clattered the plates loudly.,Rachel clattered loudly.,non-entailment,causative,other instances of causative alternation,clatter,SOUND EMISSION,meaning change,entailment,,,
The girls squeaked the door open.,The door squeaked.,entailment,causative,other instances of causative alternation,squeak,SOUND EMISSION,,entailment,,,
The girls squeaked the door open.,The girls squeaked.,non-entailment,causative,other instances of causative alternation,squeak,SOUND EMISSION,meaning change?,entailment,,,
Emma squealed the tires.,The tires squealed.,entailment,causative,other instances of causative alternation,squeal,SOUND EMISSION,,entailment,,,
Emma squealed the tires.,Emma squealed.,non-entailment,causative,other instances of causative alternation,squeal,SOUND EMISSION,meaning change,entailment,,,
John beamed the projector.,The projector beamed.,entailment,causative,other instances of causative alternation,beam,LIGHT EMISSION,,non-entailment,,,
John beamed the projector.,John beamed.,non-entailment,causative,other instances of causative alternation,beam,LIGHT EMISSION,meaning change,non-entailment,,,
Sarah blinked the lights to signal the parents that it was time to leave.,The lights blinked.,entailment,causative,other instances of causative alternation,blink,LIGHT EMISSION,,entailment,,,
Sarah blinked the lights to signal the parents that it was time to leave.,Sarah blinked.,non-entailment,causative,other instances of causative alternation,blink,LIGHT EMISSION,meaning change,entailment,,,
Luke flashed a red light in front of the window.,A red light flashed in front of the window.,entailment,causative,other instances of causative alternation,flash,LIGHT EMISSION,,entailment,,,
Luke flashed a red light in front of the window.,Luke flashed in front of the window.,non-entailment,causative,other instances of causative alternation,flash,LIGHT EMISSION,,entailment,,,
The farmer bled the cows in the barn.,The cows bled in the barn.,entailment,causative,other instances of causative alternation,bleed,SUBSTANCE EMISSION,,non-entailment,,,
The farmer bled the cows in the barn.,The farmer bled in the barn.,non-entailment,causative,other instances of causative alternation,bleed,SUBSTANCE EMISSION,,entailment,,,
The syringe squirted the patient with blood during the surgery.,The syringe squirted blood during the surgery.,entailment,causative,other instances of causative alternation,squirt,SUBSTANCE EMISSION,,entailment,,,
The syringe squirted the patient with blood during the surgery.,The patient squirted blood during the surgery.,non-entailment,causative,other instances of causative alternation,squirt,SUBSTANCE EMISSION,,non-entailment,,,
Sam dangled the rope after bungee jumping.,The rope dangled after bungee jumping.,entailment,causative,other instances of causative alternation,dangle,SPATIAL CONFIGURATION,,entailment,,,
Sam dangled the rope after bungee jumping.,Sam dangled after bungee jumping.,non-entailment,causative,other instances of causative alternation,dangle,SPATIAL CONFIGURATION,,entailment,,,
An enemy soldier hung a prisoner from a tree.,A prisoner was hung from a tree.,entailment,causative,other instances of causative alternation,hang,SPATIAL CONFIGURATION,,entailment,,,
An enemy soldier hung a prisoner from a tree.,An enemy soldier was hung from a tree.,non-entailment,causative,other instances of causative alternation,hang,SPATIAL CONFIGURATION,,non-entailment,,,
Liam leaned his bike against the wall.,His bike leaned against the wall.,entailment,causative,other instances of causative alternation,lean,SPATIAL CONFIGURATION,,entailment,,,
Liam leaned his bike against the wall.,Liam leaned against the wall.,non-entailment,causative,other instances of causative alternation,lean,SPATIAL CONFIGURATION,,non-entailment,,,
Molly perched the cat on the windowsill.,The cat perched on the windowsill.,entailment,causative,other instances of causative alternation,perch,SPATIAL CONFIGURATION,,entailment,,,
Molly perched the cat on the windowsill.,Molly perched on the windowsill.,non-entailment,causative,other instances of causative alternation,perch,SPATIAL CONFIGURATION,,non-entailment,,,
Brian rested a heavy sack on the grass.,A heavy sack rested on the grass.,entailment,causative,other instances of causative alternation,rest,SPATIAL CONFIGURATION,,entailment,,,
Brian rested a heavy sack on the grass.,Brian rested on the grass.,non-entailment,causative,other instances of causative alternation,rest,SPATIAL CONFIGURATION,,non-entailment,,,
The mother sat the child on the sofa.,The child sat on the sofa.,entailment,causative,other instances of causative alternation,sit,SPATIAL CONFIGURATION,,entailment,,,
The mother sat the child on the sofa.,The mother sat on the sofa.,non-entailment,causative,other instances of causative alternation,sit,SPATIAL CONFIGURATION,,non-entailment,,,
The team stood the statue on the pedestal. ,The statue stood on the pedestal.,entailment,causative,other instances of causative alternation,stand,SPATIAL CONFIGURATION,,entailment,,,
The team stood the statue on the pedestal. ,The team stood on the pedestal.,non-entailment,causative,other instances of causative alternation,stand,SPATIAL CONFIGURATION,,non-entailment,,,
Alex was swinging Ashley on the swings at the park.,Ashley was swinging on the swings at the park.,entailment,causative,other instances of causative alternation,swing,SPATIAL CONFIGURATION,,entailment,,,
Alex was swinging Ashley on the swings at the park.,Alex was swinging on the swings at the park.,non-entailment,causative,other instances of causative alternation,swing,SPATIAL CONFIGURATION,,non-entailment,,,
Locals bivouacked soldiers near their village after an enemy attack.,Soldiers bivouacked near the village after an enemy attack.,entailment,causative,other instances of causative alternation,bivouac,LODGE,,entailment,,,
Locals bivouacked soldiers near their village after an enemy attack.,Locals bivouacked near the village after an enemy attack.,non-entailment,causative,other instances of causative alternation,bivouac,LODGE,,entailment,,,
The guide lodged the interpreter at a hotel.,The interpreter was lodged at a hotel.,entailment,causative,other instances of causative alternation,lodge,LODGE,,entailment,,,
The guide lodged the interpreter at a hotel.,The guide was lodged at a hotel.,non-entailment,causative,other instances of causative alternation,lodge,LODGE,,non-entailment,,,
Clark settled his elderly parents in a small town by the sea.,His elderly parents settled in a small town by the sea.,entailment,causative,other instances of causative alternation,settle,LODGE,,entailment,,,
Clark settled his elderly parents in a small town by the sea.,Clark settled in a small town by the sea,non-entailment,causative,other instances of causative alternation,settle,LODGE,,non-entailment,,,
Villagers sheltered lost hikers in the local inn.,Lost hikers sheltered in the local inn.,entailment,causative,other instances of causative alternation,shelter,LODGE,,entailment,,,
Villagers sheltered lost hikers in the local inn.,Villagers sheltered in the local inn.,non-entailment,causative,other instances of causative alternation,shelter,LODGE,,non-entailment,,,
Larry asphyxiated the elderly man a week ago.,The elderly man was asphyxiated a week ago.,entailment,causative,other instances of causative alternation,asphyxiate,SUFFOCATE,,entailment,,,
Larry asphyxiated the elderly man a week ago.,Larry was asphyxiated a week ago.,non-entailment,causative,other instances of causative alternation,asphyxiate,SUFFOCATE,,non-entailment,,,
The pirate choked the sailor to death.,The sailor was choked to death.,entailment,causative,other instances of causative alternation,choke,SUFFOCATE,,entailment,,,
The pirate choked the sailor to death.,The pirate was choked to death.,non-entailment,causative,other instances of causative alternation,choke,SUFFOCATE,,non-entailment,,,
Our neighbour drowned his cat in a pond two blocks away.,His cat drowned in a pond two blocks away.,entailment,causative,other instances of causative alternation,drown,SUFFOCATE,,entailment,,,
Our neighbour drowned his cat in a pond two blocks away.,Our neighbour drowned in a pond two blocks away.,non-entailment,causative,other instances of causative alternation,drown,SUFFOCATE,,non-entailment,,,
The agent suffocated the suspect during the special operation.,The suspect suffocated during the special operation.,entailment,causative,other instances of causative alternation,suffocate,SUFFOCATE,,entailment,,,
The agent suffocated the suspect during the special operation.,The agent suffocated during the special operation.,non-entailment,causative,other instances of causative alternation,suffocate,SUFFOCATE,,non-entailment,,,
Kevin burped the baby.,The baby burped.,entailment,causative,other instances of causative alternation,burp,OTHER VERBS,,entailment,,,
Kevin burped the baby.,Kevin burped.,non-entailment,causative,other instances of causative alternation,burp,OTHER VERBS,,entailment,,,
Teresa fed milk to Joan.,Teresa fed Joan milk.,entailment,dative,,feed,GIVE,,entailment,,,
Teresa fed milk to Joan.,Joan fed Teresa milk.,non-entailment,dative,,feed,GIVE,,non-entailment,,,
Oliver gave Mary's key to Emma.,Oliver gave Emma a key.,entailment,dative,,give,GIVE,,entailment,,,
Oliver gave Mary's key to Emma.,Oliver gave Mary a key.,non-entailment,dative,,give,GIVE,,non-entailment,,,
The Johnsons leased their parents' land to the Petersons for five years.,The Johnsons leased the Petersons the land for five years.,entailment,dative,,lease,GIVE,,entailment,,,
The Johnsons leased their parents' land to the Petersons for five years.,The Johnsons leased their parents the land for five years.,non-entailment,dative,,lease,GIVE,,non-entailment,,,
Amelia lent her sister's car to William for a weekend.,Amelia lent William the car for a weekend.,entailment,dative,,lend,GIVE,,entailment,,,
Amelia lent her sister's car to William for a weekend.,Amelia lent her sister the car for a weekend.,non-entailment,dative,,lend,GIVE,,non-entailment,,,
Olivia loaned two hundred dollars to Lucas.,Olivia loaned Lucas two hundred dollars.,entailment,dative,,loan,GIVE,,entailment,,,
Olivia loaned two hundred dollars to Lucas.,Lucas loaned Olivia two hundred dollars.,non-entailment,dative,,loan,GIVE,,non-entailment,,,
Henry passed Jane's note to Nick during the class.,Henry passed Nick the note during the class.,entailment,dative,,pass,GIVE,,entailment,,,
Henry passed Jane's note to Nick during the class.,Henry passed Jane the note during the class.,non-entailment,dative,,pass,GIVE,,entailment,,,
Robert paid five thousand pounds to Linda for her ex-husband's car.,Robert paid Linda five thousand pounds.,entailment,dative,,pay,GIVE,,entailment,,,
Robert paid five thousand pounds to Linda for her ex-husband's car.,Robert paid Linda's ex-husband five thousand pounds.,non-entailment,dative,,pay,GIVE,,non-entailment,,,
His parents refunded three hundred euros to Julia for her son's broken window.,His parents refunded Julia three hundred euros for the broken window.,entailment,dative,,refund,GIVE,,entailment,,,
His parents refunded three hundred euros to Julia for her son's broken window.,His parents refunded his son three hundred euros for the broken window.,non-entailment,dative,,refund,GIVE,,non-entailment,,,
The Browns rendered the greatest service to the neighbours.,The Browns rendered the neighbours the greatest service.,entailment,dative,,render,GIVE,,entailment,,,
The Browns rendered the greatest service to the neighbours.,The neighbours rendered the Browns the greatest service.,non-entailment,dative,,render,GIVE,,non-entailment,,,
Elizabeth rented her aunt's apartment to Richard for 1000 euros per month.,Elizabeth rented Richard the apartment for 1000 euros per month.,entailment,dative,,rent,GIVE,,entailment,,,
Elizabeth rented her aunt's apartment to Richard for 1000 euros per month.,Elizabeth rented her aunt the apartment for 1000 euros per month.,non-entailment,dative,,rent,GIVE,,non-entailment,,,
William repaid the expenses to Joseph.,William repaid Joseph the expenses.,entailment,dative,,repay,GIVE,,entailment,,,
William repaid the expenses to Joseph.,Joseph repaid William the expenses.,non-entailment,dative,,repay,GIVE,,non-entailment,,,
Sarah sold her parents' house to Susan after they retired.,Sarah sold Susan the house.,entailment,dative,,sell,GIVE,,entailment,,,
Sarah sold her parents' house to Susan after they retired.,Sarah sold her parents the house.,non-entailment,dative,,sell,GIVE,,non-entailment,,,
James served his mother's baked potatoes to Mary.,James served Mary baked potatoes.,entailment,dative,,serve,GIVE,,entailment,,,
James served his mother's baked potatoes to Mary.,James served his mother baked potatoes.,non-entailment,dative,,serve,GIVE,,entailment,,,
The Belgians traded wool to the Swedes.,The Belgians traded the Swedes wool.,entailment,dative,,trade,GIVE,,entailment,,,
The Belgians traded wool to the Swedes.,The Swedes traded the Belgians wool.,non-entailment,dative,,trade,GIVE,,non-entailment,,,
The committee allocated the funds to the company.,The committee allocated  the company the funds.,entailment,dative,,allocate,FUTURE HAVING,,entailment,,,
The committee allocated the funds to the company.,The company allocated the committee the funds.,non-entailment,dative,,allocate,FUTURE HAVING,,non-entailment,,,
The team allotted duties to the partners of the company during the last meeting.,The team allotted the partners of the company duties during the last meeting.,entailment,dative,,allot,FUTURE HAVING,,entailment,,,
The team allotted duties to the partners of the company during the last meeting.,The partners of the company allotted the team duties during the last meeting.,non-entailment,dative,,allot,FUTURE HAVING,,non-entailment,,,
Karen assigned Betty's old room to Lisa for the Christmas holidays.,Karen assigned Lisa Betty's old room for the Christmas holidays.,entailment,dative,,assign,FUTURE HAVING,,entailment,,,
Karen assigned Betty's old room to Lisa for the Christmas holidays.,Karen assigned Betty a room for the Christmas holidays.,non-entailment,dative,,assign,FUTURE HAVING,,non-entailment,,,
