premise,hypothesis,label,alternation,subtype of alternation,lemma,verb class,comment,pred,prediction,,Model,Accuracy
The boy spun the remote-controlled car around the room.,The remote-controlled car spun around the room.,entailment,causative,causative/inchoative,spin,ROLL,,Entailment,entailment,,,
The boy spun the remote-controlled car around the room.,The boy spun around the room.,non-entailment,causative,causative/inchoative,spin,ROLL,,entailment,entailment,,,
The student turned the document around.,The document turned around.,entailment,causative,causative/inchoative,turn,ROLL,,non-entailment,non-entailment,,,
The student turned the document around.,The student turned around.,non-entailment,causative,causative/inchoative,turn,ROLL,,Non-entailment,non-entailment,,,
Susan twirled the globe in the living room.,The globe twirled in the living room.,entailment,causative,causative/inchoative,twirl,ROLL,,non-entailment,non-entailment,,,
Susan twirled the globe in the living room.,Susan twirled in the living room.,non-entailment,causative,causative/inchoative,twirl,ROLL,,Non-entailment,non-entailment,,,
David twisted the knob.,The knob twisted.,entailment,causative,causative/inchoative,twist,ROLL,,Non-entailment,non-entailment,,,
David twisted the knob.,David twisted.,non-entailment,causative,causative/inchoative,twist,ROLL,meaning change,Entailment.,entailment,,,
The statuette broke the showcase.,The showcase broke.,entailment,causative,causative/inchoative,break,BREAK,,"Non-entailment. The hypothesis ""The showcase broke."" cannot be inferred from the given premise ""The statuette broke the showcase.""",non-entailment,,,
The statuette broke the showcase.,The statuette broke.,non-entailment,causative,causative/inchoative,break,BREAK,,entailment,entailment,,,
This cup chipped John's front tooth.,John's front tooth chipped.,entailment,causative,causative/inchoative,chip,BREAK,,entailment,entailment,,,
This cup chipped John's front tooth.,This cup chipped.,non-entailment,causative,causative/inchoative,chip,BREAK,,non-entailment,non-entailment,,,
The hammer cracked the wall during the major overhaul.,The wall cracked during the major overhaul.,entailment,causative,causative/inchoative,crack,BREAK,,Entailment,entailment,,,
The hammer cracked the wall during the major overhaul.,The hammer cracked during the major overhaul.,non-entailment,causative,causative/inchoative,crack,BREAK,,non-entailment,non-entailment,,,
Lisa crashed the drone while she was in Portugal.,The drone crashed in Portugal.,entailment,causative,causative/inchoative,crash,BREAK,,Non-entailment,non-entailment,,,
Lisa crashed the drone while she was in Portugal.,Lisa crashed in Portugal.,non-entailment,causative,causative/inchoative,crash,BREAK,meaning change,Entailment,entailment,,,
The falling stalagmite fractured the bone.,The bone fractured.,entailment,causative,causative/inchoative,fracture,BREAK,,entailment,entailment,,,
The falling stalagmite fractured the bone.,The falling stalagmite fractured.,non-entailment,causative,causative/inchoative,fracture,BREAK,,entailment,entailment,,,
The hammer shattered the glass.,The glass shattered.,entailment,causative,causative/inchoative,shatter,BREAK,,entailment,entailment,,,
The hammer shattered the glass.,The hammer shattered.,non-entailment,causative,causative/inchoative,shatter,BREAK,,Non-entailment.,non-entailment,,,
Robert hammered the nail into the door.,The nail was hammered into the door.,entailment,causative,causative/inchoative,hammer,BREAK,,Entailment,entailment,,,
Robert hammered the nail into the door.,Robert hammered at the door.,non-entailment,causative,causative/inchoative,hammer,BREAK,meaning change,Non-entailment,non-entailment,,,
The bat smashed the window to pieces.,The window smashed to pieces.,entailment,causative,causative/inchoative,smash,BREAK,,Non-entailment,non-entailment,,,
The bat smashed the window to pieces.,The bat smashed to pieces.,non-entailment,causative,causative/inchoative,smash,BREAK,,Non-entailment.,non-entailment,,,
The damaged tree snapped the outdoor table in two.,The outdoor table snapped in two.,entailment,causative,causative/inchoative,snap,BREAK,,non-entailment,non-entailment,,,
The damaged tree snapped the outdoor table in two.,The damaged tree snapped in two.,non-entailment,causative,causative/inchoative,snap,BREAK,,Entailment,entailment,,,
The baseball bat splintered the interior door.,The interior door splintered.,entailment,causative,causative/inchoative,splinter,BREAK,,"The correct answer is 'non-entailment'. The hypothesis ""The interior door splintered"" cannot be inferred from the given premise ""The baseball bat splintered the interior door.""",non-entailment,,,
The baseball bat splintered the interior door.,The baseball bat splintered.,non-entailment,causative,causative/inchoative,splinter,BREAK,,entailment,entailment,,,
The spear split the coconut in half.,The coconut split in half.,entailment,causative,causative/inchoative,split,BREAK,,entailment,entailment,,,
The spear split the coconut in half.,The spear split in half.,non-entailment,causative,causative/inchoative,split,BREAK,,non-entailment,non-entailment,,,
Tony bent the rod.,The rod bent.,entailment,causative,causative/inchoative,bend,BEND,,Non-entailment,non-entailment,,,
Tony bent the rod.,Tony bent.,non-entailment,causative,causative/inchoative,bend,BEND,,Non-entailment.,non-entailment,,,
The pillow creased the bed sheet.,The bed sheet was creased.,entailment,causative,causative/inchoative,crease,BEND,,non-entailment,non-entailment,,,
The pillow creased the bed sheet.,The pillow was creased.,non-entailment,causative,causative/inchoative,crease,BEND,,non-entailment,non-entailment,,,
The coat crumpled the blouse underneath it.,The blouse crumpled.,entailment,causative,causative/inchoative,crumple,BEND,,non-entailment,non-entailment,,,
The coat crumpled the blouse underneath it.,The coat crumpled.,non-entailment,causative,causative/inchoative,crumple,BEND,,non-entailment,non-entailment,,,
The blanket rumpled the sheet underneath it.,The sheet rumpled.,entailment,causative,causative/inchoative,rumple,BEND,,Non-entailment.,non-entailment,,,
The blanket rumpled the sheet underneath it.,The blanket rumpled.,non-entailment,causative,causative/inchoative,rumple,BEND,,Non-entailment,non-entailment,,,
James wrinkled the napkin.,The napkin wrinkled.,entailment,causative,causative/inchoative,wrinkle,BEND,,non-entailment,non-entailment,,,
James wrinkled the napkin.,James wrinkled.,non-entailment,causative,causative/inchoative,wrinkle,BEND,meaning change,Entailment,entailment,,,
Her fear abated the physical pain.,The physical pain abated.,entailment,causative,causative/inchoative,abate,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,non-entailment,non-entailment,,,
Her fear abated the physical pain.,Her fear abated.,non-entailment,causative,causative/inchoative,abate,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,non-entailment,non-entailment,,,
The university advanced our knowledge.,Our knowledge advanced.,entailment,causative,causative/inchoative,advance,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,Non-entailment,non-entailment,,,
The university advanced our knowledge.,The university advanced.,non-entailment,causative,causative/inchoative,advance,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,entailment,entailment,,,
Adam aged the cheese in his own factory.,The cheese aged.,entailment,causative,causative/inchoative,age,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,Entailment,entailment,,,
Adam aged the cheese in his own factory.,Adam aged.,non-entailment,causative,causative/inchoative,age,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,Non-entailment.,non-entailment,,,
The existing legislation altered the business model.,The business model was altered.,entailment,causative,causative/inchoative,alter,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,Entailment.,entailment,,,
The existing legislation altered the business model.,The existing legislation was altered.,non-entailment,causative,causative/inchoative,alter,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,Non-entailment.,non-entailment,,,
Political influence atrophied this tradition.,This tradition atrophied.,entailment,causative,causative/inchoative,atrophy,OTHER ALTERNATING VERBS OF CHANGE OF STATE,metaphorical,non-entailment,non-entailment,,,
Political influence atrophied this tradition.,Political influence atrophied.,non-entailment,causative,causative/inchoative,atrophy,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,non-entailment,non-entailment,,,
The mother awoke the sleeping child after a midday nap.,The sleeping child awoke after a midday nap.,entailment,causative,causative/inchoative,awake,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,Non-entailment,non-entailment,,,
The mother awoke the sleeping child after a midday nap.,The mother awoke after a midday nap.,non-entailment,causative,causative/inchoative,awake,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,entailment,entailment,,,
The entertainer balanced the trophy on his head.,The trophy balanced on his head.,entailment,causative,causative/inchoative,balance,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,Entailment,entailment,,,
The entertainer balanced the trophy on his head.,The entertainer balanced on his head.,non-entailment,causative,causative/inchoative,balance,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,"The hypothesis ""The entertainer balanced on his head"" is a non-entailment of the premise ""The entertainer balanced the trophy on his head."" The hypothesis does not explicitly mention the trophy, so we cannot infer that the entertainer balanced the trophy on his head based on the given premise. Therefore, the answer is 'non-entailment'.",non-entailment,,,
The robot blasted the box.,The box was blasted.,entailment,causative,causative/inchoative,blast,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,Non-entailment,non-entailment,,,
The robot blasted the box.,The robot was blasted.,non-entailment,causative,causative/inchoative,blast,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,non-entailment,non-entailment,,,
The film blurred the boundaries between animation and live-action.,The boundaries blurred.,entailment,causative,causative/inchoative,blur,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,entailment,entailment,,,
The film blurred the boundaries between animation and live-action.,The film blurred.,non-entailment,causative,causative/inchoative,blur,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,Non-entailment.,non-entailment,,,
The yacht accidentally capsized the lifeboat.,The lifeboat capsized.,entailment,causative,causative/inchoative,capsize,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,Non-entailment,non-entailment,,,
The yacht accidentally capsized the lifeboat.,The yacht capsized.,non-entailment,causative,causative/inchoative,capsize,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,Entailment.,entailment,,,
The players changed the rules.,The rules changed.,entailment,causative,causative/inchoative,change,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,Non-entailment,non-entailment,,,
The players changed the rules.,The players changed.,non-entailment,causative,causative/inchoative,change,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,entailment,entailment,,,
The police department closed the case.,The case was closed.,entailment,causative,causative/inchoative,close,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,Entailment,entailment,,,
The police department closed the case.,The police department was closed.,non-entailment,causative,causative/inchoative,close,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,non-entailment,non-entailment,,,
The worker collapsed the roof of the old house.,The roof collapsed.,entailment,causative,causative/inchoative,collapse,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,Non-entailment,non-entailment,,,
The worker collapsed the roof of the old house.,The worker collapsed.,non-entailment,causative,causative/inchoative,collapse,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,Non-entailment,non-entailment,,,
The machine compressed plastic waste.,Plastic waste was compressed.,entailment,causative,causative/inchoative,compress,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,entailment,entailment,,,
The machine compressed plastic waste.,The machine was compressed.,non-entailment,causative,causative/inchoative,compress,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,Non-entailment,non-entailment,,,
This material corroded the metal surface.,The metal surface corroded.,entailment,causative,causative/inchoative,corrode,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,Entailment.,entailment,,,
This material corroded the metal surface.,This material corroded.,non-entailment,causative,causative/inchoative,corrode,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,Entailment.,entailment,,,
The falling rock crumbled the ice on the lake.,The ice crumbled.,entailment,causative,causative/inchoative,crumble,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,Non-entailment,non-entailment,,,
The falling rock crumbled the ice on the lake.,The falling rock crumbled.,non-entailment,causative,causative/inchoative,crumble,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,non-entailment,non-entailment,,,
Soil organisms decomposed the organic matter.,The organic matter decomposed.,entailment,causative,causative/inchoative,decompose,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,Entailment.,entailment,,,
Soil organisms decomposed the organic matter.,Soil organisms decomposed.,non-entailment,causative,causative/inchoative,decompose,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,"The hypothesis ""Soil organisms decomposed."" can be inferred from the given premise ""Soil organisms decomposed the organic matter."" Therefore, the answer is entailment.",entailment,,,
The expenses of raising children decreased his desire to quit the job.,His desire to quit the job decreased.,entailment,causative,causative/inchoative,decrease,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,Entailment,entailment,,,
The expenses of raising children decreased his desire to quit the job.,The expenses of raising children decreased.,non-entailment,causative,causative/inchoative,decrease,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,non-entailment,non-entailment,,,
The threat of nuclear war diminished our belief in a bright future.,Our belief in a bright future diminished.,entailment,causative,causative/inchoative,diminish,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,Non-entailment,non-entailment,,,
The threat of nuclear war diminished our belief in a bright future.,The threat of nuclear war diminished.,non-entailment,causative,causative/inchoative,diminish,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,Non-entailment,non-entailment,,,
The company enlarged the allocated budget for the conference.,The allocated budget for the conference was enlarged.,entailment,causative,causative/inchoative,enlarge,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,entailment,entailment,,,
The company enlarged the allocated budget for the conference.,The company was enlarged.,non-entailment,causative,causative/inchoative,enlarge,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,non-entailment,non-entailment,,,
The policeman halted traffic near the police station.,Traffic halted near the police station.,entailment,causative,causative/inchoative,halt,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,"Entailment. The hypothesis ""Traffic halted near the police station."" can be inferred from the premise ""The policeman halted traffic near the police station.""",entailment,,,
The policeman halted traffic near the police station.,The policeman halted near the police station.,non-entailment,causative,causative/inchoative,halt,OTHER ALTERNATING VERBS OF CHANGE OF STATE,,Entailment.,entailment,,,
Steve drove the remote-control toy car in that direction.,The remote-control car drove in that direction.,entailment,causative,induced action,drive,RUN,,Entailment,entailment,,,
Steve drove the remote-control toy car in that direction.,Steve drove in that direction.,non-entailment,causative,induced action,drive,RUN,,Entailment,entailment,,,
Laura is flying a drone over the river.,A drone is flying over the river.,entailment,causative,induced action,fly,RUN,,entailment,entailment,,,
Laura is flying a drone over the river.,Laura is flying over the river.,non-entailment,causative,induced action,fly,RUN,,Entailment.,entailment,,,
The trainer jumped the dog over the hurdle.,The dog jumped over the hurdle.,entailment,causative,induced action,jump,RUN,,Non-entailment.,non-entailment,,,
The trainer jumped the dog over the hurdle.,The trainer jumped over the hurdle.,non-entailment,causative,induced action,jump,RUN,,entailment,entailment,,,
James leapt his pet over the fence.,His pet leapt over the fence.,entailment,causative,induced action,leap,RUN,,Entailment.,entailment,,,
James leapt his pet over the fence.,James leapt over the fence.,non-entailment,causative,induced action,leap,RUN,,Entailment.,entailment,,,
The captain marched the soldiers to the barracks.,The soldiers marched to the barracks.,entailment,causative,induced action,march,RUN,,entailment,entailment,,,
The captain marched the soldiers to the barracks.,The captain marched to the barracks.,non-entailment,causative,induced action,march,RUN,,entailment,entailment,,,
John raced dogs around the field.,Dogs raced around the field.,entailment,causative,induced action,race,RUN,,"Non-entailment. The hypothesis ""Dogs raced around the field."" cannot be inferred from the premise ""John raced dogs around the field.""",non-entailment,,,
John raced dogs around the field.,John raced around the field.,non-entailment,causative,induced action,race,RUN,,Non-entailment.,non-entailment,,,
The child ran the rat through the maze.,The rat ran through the maze.,entailment,causative,induced action,run,RUN,,Non-entailment,non-entailment,,,
The child ran the rat through the maze.,The child ran through the maze.,non-entailment,causative,induced action,run,RUN,,non-entailment,non-entailment,,,
Jane swam her dog across the pool.,Her dog swam across the pool.,entailment,causative,induced action,swim,RUN,,non-entailment,non-entailment,,,
Jane swam her dog across the pool.,Jane swam across the pool.,non-entailment,causative,induced action,swim,RUN,,entailment,entailment,,,
The child trotted the pony into the field.,The pony trotted into the field.,entailment,causative,induced action,trot,RUN,,non-entailment,non-entailment,,,
The child trotted the pony into the field.,The child trotted into the field.,non-entailment,causative,induced action,trot,RUN,meaning change,non-entailment,non-entailment,,,
The seagull clanged the metal rail.,The metal rail clanged.,entailment,causative,other instances of causative alternation,clang,SOUND EMISSION,,non-entailment,non-entailment,,,
The seagull clanged the metal rail.,The seagull clanged.,non-entailment,causative,other instances of causative alternation,clang,SOUND EMISSION,meaning change (M-W & Collins Dic),"The hypothesis ""The seagull clanged."" can be inferred from the premise ""The seagull clanged the metal rail."" Therefore, the answer is entailment.",entailment,,,
Rachel clattered the plates loudly.,The plates clattered loudly.,entailment,causative,other instances of causative alternation,clatter,SOUND EMISSION,,Non-entailment,non-entailment,,,
Rachel clattered the plates loudly.,Rachel clattered loudly.,non-entailment,causative,other instances of causative alternation,clatter,SOUND EMISSION,meaning change,entailment,entailment,,,
The girls squeaked the door open.,The door squeaked.,entailment,causative,other instances of causative alternation,squeak,SOUND EMISSION,,Entailment,entailment,,,
The girls squeaked the door open.,The girls squeaked.,non-entailment,causative,other instances of causative alternation,squeak,SOUND EMISSION,meaning change?,non-entailment,non-entailment,,,
Emma squealed the tires.,The tires squealed.,entailment,causative,other instances of causative alternation,squeal,SOUND EMISSION,,non-entailment,non-entailment,,,
Emma squealed the tires.,Emma squealed.,non-entailment,causative,other instances of causative alternation,squeal,SOUND EMISSION,meaning change,entailment,entailment,,,
John beamed the projector.,The projector beamed.,entailment,causative,other instances of causative alternation,beam,LIGHT EMISSION,,Non-entailment.,non-entailment,,,
John beamed the projector.,John beamed.,non-entailment,causative,other instances of causative alternation,beam,LIGHT EMISSION,meaning change,Entailment,entailment,,,
Sarah blinked the lights to signal the parents that it was time to leave.,The lights blinked.,entailment,causative,other instances of causative alternation,blink,LIGHT EMISSION,,Entailment.,entailment,,,
Sarah blinked the lights to signal the parents that it was time to leave.,Sarah blinked.,non-entailment,causative,other instances of causative alternation,blink,LIGHT EMISSION,meaning change,entailment,entailment,,,
Luke flashed a red light in front of the window.,A red light flashed in front of the window.,entailment,causative,other instances of causative alternation,flash,LIGHT EMISSION,,non-entailment,non-entailment,,,
Luke flashed a red light in front of the window.,Luke flashed in front of the window.,non-entailment,causative,other instances of causative alternation,flash,LIGHT EMISSION,,Non-entailment,non-entailment,,,
The farmer bled the cows in the barn.,The cows bled in the barn.,entailment,causative,other instances of causative alternation,bleed,SUBSTANCE EMISSION,,Non-entailment,non-entailment,,,
The farmer bled the cows in the barn.,The farmer bled in the barn.,non-entailment,causative,other instances of causative alternation,bleed,SUBSTANCE EMISSION,,Entailment,entailment,,,
The syringe squirted the patient with blood during the surgery.,The syringe squirted blood during the surgery.,entailment,causative,other instances of causative alternation,squirt,SUBSTANCE EMISSION,,non-entailment,non-entailment,,,
The syringe squirted the patient with blood during the surgery.,The patient squirted blood during the surgery.,non-entailment,causative,other instances of causative alternation,squirt,SUBSTANCE EMISSION,,Non-entailment,non-entailment,,,
Sam dangled the rope after bungee jumping.,The rope dangled after bungee jumping.,entailment,causative,other instances of causative alternation,dangle,SPATIAL CONFIGURATION,,entailment,entailment,,,
Sam dangled the rope after bungee jumping.,Sam dangled after bungee jumping.,non-entailment,causative,other instances of causative alternation,dangle,SPATIAL CONFIGURATION,,non-entailment,non-entailment,,,
An enemy soldier hung a prisoner from a tree.,A prisoner was hung from a tree.,entailment,causative,other instances of causative alternation,hang,SPATIAL CONFIGURATION,,entailment,entailment,,,
An enemy soldier hung a prisoner from a tree.,An enemy soldier was hung from a tree.,non-entailment,causative,other instances of causative alternation,hang,SPATIAL CONFIGURATION,,Non-entailment,non-entailment,,,
Liam leaned his bike against the wall.,His bike leaned against the wall.,entailment,causative,other instances of causative alternation,lean,SPATIAL CONFIGURATION,,Entailment,entailment,,,
Liam leaned his bike against the wall.,Liam leaned against the wall.,non-entailment,causative,other instances of causative alternation,lean,SPATIAL CONFIGURATION,,entailment,entailment,,,
Molly perched the cat on the windowsill.,The cat perched on the windowsill.,entailment,causative,other instances of causative alternation,perch,SPATIAL CONFIGURATION,,entailment,entailment,,,
Molly perched the cat on the windowsill.,Molly perched on the windowsill.,non-entailment,causative,other instances of causative alternation,perch,SPATIAL CONFIGURATION,,non-entailment,non-entailment,,,
Brian rested a heavy sack on the grass.,A heavy sack rested on the grass.,entailment,causative,other instances of causative alternation,rest,SPATIAL CONFIGURATION,,Entailment,entailment,,,
Brian rested a heavy sack on the grass.,Brian rested on the grass.,non-entailment,causative,other instances of causative alternation,rest,SPATIAL CONFIGURATION,,non-entailment,non-entailment,,,
The mother sat the child on the sofa.,The child sat on the sofa.,entailment,causative,other instances of causative alternation,sit,SPATIAL CONFIGURATION,,Entailment,entailment,,,
The mother sat the child on the sofa.,The mother sat on the sofa.,non-entailment,causative,other instances of causative alternation,sit,SPATIAL CONFIGURATION,,Non-entailment,non-entailment,,,
The team stood the statue on the pedestal. ,The statue stood on the pedestal.,entailment,causative,other instances of causative alternation,stand,SPATIAL CONFIGURATION,,Non-entailment,non-entailment,,,
The team stood the statue on the pedestal. ,The team stood on the pedestal.,non-entailment,causative,other instances of causative alternation,stand,SPATIAL CONFIGURATION,,non-entailment,non-entailment,,,
Alex was swinging Ashley on the swings at the park.,Ashley was swinging on the swings at the park.,entailment,causative,other instances of causative alternation,swing,SPATIAL CONFIGURATION,,Entailment.,entailment,,,
Alex was swinging Ashley on the swings at the park.,Alex was swinging on the swings at the park.,non-entailment,causative,other instances of causative alternation,swing,SPATIAL CONFIGURATION,,Non-entailment,non-entailment,,,
Locals bivouacked soldiers near their village after an enemy attack.,Soldiers bivouacked near the village after an enemy attack.,entailment,causative,other instances of causative alternation,bivouac,LODGE,,entailment,entailment,,,
Locals bivouacked soldiers near their village after an enemy attack.,Locals bivouacked near the village after an enemy attack.,non-entailment,causative,other instances of causative alternation,bivouac,LODGE,,entailment,entailment,,,
The guide lodged the interpreter at a hotel.,The interpreter was lodged at a hotel.,entailment,causative,other instances of causative alternation,lodge,LODGE,,Entailment,entailment,,,
The guide lodged the interpreter at a hotel.,The guide was lodged at a hotel.,non-entailment,causative,other instances of causative alternation,lodge,LODGE,,Entailment,entailment,,,
Clark settled his elderly parents in a small town by the sea.,His elderly parents settled in a small town by the sea.,entailment,causative,other instances of causative alternation,settle,LODGE,,entailment,entailment,,,
Clark settled his elderly parents in a small town by the sea.,Clark settled in a small town by the sea,non-entailment,causative,other instances of causative alternation,settle,LODGE,,Entailment,entailment,,,
Villagers sheltered lost hikers in the local inn.,Lost hikers sheltered in the local inn.,entailment,causative,other instances of causative alternation,shelter,LODGE,,Entailment,entailment,,,
Villagers sheltered lost hikers in the local inn.,Villagers sheltered in the local inn.,non-entailment,causative,other instances of causative alternation,shelter,LODGE,,Entailment.,entailment,,,
Larry asphyxiated the elderly man a week ago.,The elderly man was asphyxiated a week ago.,entailment,causative,other instances of causative alternation,asphyxiate,SUFFOCATE,,"The premise ""Larry asphyxiated the elderly man a week ago."" and the hypothesis ""The elderly man was asphyxiated a week ago."" have a very similar structure and share the same core meaning. Therefore, the hypothesis can be inferred from the given premise. The answer is entailment.",entailment,,,
Larry asphyxiated the elderly man a week ago.,Larry was asphyxiated a week ago.,non-entailment,causative,other instances of causative alternation,asphyxiate,SUFFOCATE,,Non-entailment,non-entailment,,,
The pirate choked the sailor to death.,The sailor was choked to death.,entailment,causative,other instances of causative alternation,choke,SUFFOCATE,,entailment,entailment,,,
The pirate choked the sailor to death.,The pirate was choked to death.,non-entailment,causative,other instances of causative alternation,choke,SUFFOCATE,,non-entailment,non-entailment,,,
Our neighbour drowned his cat in a pond two blocks away.,His cat drowned in a pond two blocks away.,entailment,causative,other instances of causative alternation,drown,SUFFOCATE,,"Entailment. The hypothesis ""His cat drowned in a pond two blocks away."" can be inferred from the premise ""Our neighbour drowned his cat in a pond two blocks away.""",entailment,,,
Our neighbour drowned his cat in a pond two blocks away.,Our neighbour drowned in a pond two blocks away.,non-entailment,causative,other instances of causative alternation,drown,SUFFOCATE,,Non-entailment.,non-entailment,,,
The agent suffocated the suspect during the special operation.,The suspect suffocated during the special operation.,entailment,causative,other instances of causative alternation,suffocate,SUFFOCATE,,Non-entailment,non-entailment,,,
The agent suffocated the suspect during the special operation.,The agent suffocated during the special operation.,non-entailment,causative,other instances of causative alternation,suffocate,SUFFOCATE,,non-entailment,non-entailment,,,
Kevin burped the baby.,The baby burped.,entailment,causative,other instances of causative alternation,burp,OTHER VERBS,,Non-entailment,non-entailment,,,
Kevin burped the baby.,Kevin burped.,non-entailment,causative,other instances of causative alternation,burp,OTHER VERBS,,Non-entailment.,non-entailment,,,
Teresa fed milk to Joan.,Teresa fed Joan milk.,entailment,dative,,feed,GIVE,,Entailment,entailment,,,
Teresa fed milk to Joan.,Joan fed Teresa milk.,non-entailment,dative,,feed,GIVE,,non-entailment,non-entailment,,,
Oliver gave Mary's key to Emma.,Oliver gave Emma a key.,entailment,dative,,give,GIVE,,non-entailment,non-entailment,,,
Oliver gave Mary's key to Emma.,Oliver gave Mary a key.,non-entailment,dative,,give,GIVE,,Entailment,entailment,,,
The Johnsons leased their parents' land to the Petersons for five years.,The Johnsons leased the Petersons the land for five years.,entailment,dative,,lease,GIVE,,Non-entailment,non-entailment,,,
